,city_mpg,class,combination_mpg,cylinders,displacement,drive,fuel_type,highway_mpg,make,model,transmission,year
0,24,0.0,27,4.0,2.5,0.0,0.0,32,0.0,6.0,0.0,2016
1,24,0.0,27,4.0,2.5,0.0,0.0,32,0.0,6.0,0.0,2016
2,24,0.0,27,4.0,2.5,0.0,0.0,31,0.0,0.0,0.0,2016
3,24,0.0,27,4.0,2.0,0.0,0.0,32,0.0,0.0,0.0,2016
4,24,0.0,27,4.0,2.0,0.0,0.0,32,0.0,0.0,0.0,2016
5,24,0.0,26,4.0,2.5,0.0,0.0,29,0.0,0.0,0.0,2016
6,24,0.0,27,4.0,2.0,0.0,0.0,30,0.0,0.0,0.0,2016
7,19,0.0,22,6.0,3.5,0.0,0.0,29,0.0,0.0,0.0,2016
8,19,0.0,23,6.0,3.5,0.0,0.0,30,0.0,0.0,0.0,2016
9,17,0.0,20,6.0,3.5,0.0,0.0,24,0.0,0.0,0.0,2016
10,18,0.0,20,6.0,3.5,0.0,0.0,25,0.0,0.0,0.0,2016
11,22,0.0,24,4.0,2.5,0.0,0.0,28,0.0,0.0,0.0,2016
12,24,0.0,27,4.0,2.5,0.0,0.0,31,0.0,0.0,0.0,2016
13,23,0.0,25,4.0,2.0,0.0,0.0,27,0.0,0.0,0.0,2016
14,19,0.0,23,6.0,3.5,0.0,0.0,29,0.0,0.0,0.0,2016
15,17,0.0,20,6.0,3.5,0.0,0.0,25,0.0,0.0,0.0,2016
16,17,0.0,20,6.0,3.5,0.0,0.0,24,0.0,0.0,0.0,2016
17,24,0.0,27,6.0,3.0,0.0,0.0,32,0.0,0.0,0.0,2016
18,20,0.0,22,4.0,2.4,0.0,0.0,26,0.0,0.0,0.0,2016
19,19,0.0,21,4.0,2.4,0.0,0.0,27,0.0,0.0,0.0,2016
20,18,0.0,21,6.0,3.3,0.0,0.0,25,0.0,0.0,0.0,2016
21,19,0.0,21,4.0,2.4,0.0,0.0,24,0.0,0.0,0.0,2016
22,18,0.0,20,6.0,3.3,0.0,0.0,24,0.0,0.0,0.0,2016
23,17,0.0,20,6.0,3.5,0.0,0.0,24,0.0,0.0,0.0,2016
24,17,0.0,20,6.0,3.5,0.0,0.0,24,0.0,0.0,0.0,2016
25,17,0.0,20,6.0,3.5,0.0,0.0,24,0.0,0.0,0.0,2016
26,17,0.0,20,6.0,3.5,0.0,0.0,24,0.0,0.0,0.0,2016
27,17,0.0,20,6.0,3.5,0.0,0.0,24,0.0,0.0,0.0,2016
28,17,0.0,20,6.0,3.5,0.0,0.0,24,0.0,0.0,0.0,2016
29,17,0.0,20,6.0,3.5,0.0,0.0,24,0.0,0.0,0.0,2016
30,17,0.0,20,6.0,3.5,0.0,0.0,24,0.0,0.0,0.0,2016
31,17,0.0,20,6.0,3.5,0.0,0.0,24,0.0,0.0,0.0,2016
32,17,0.0,20,6.0,3.5,0.0,0.0,24,0.0,0.0,0.0,2016
33,17,0.0,20,6.0,3.5,0.0,0.0,24,0.0,0.0,0.0,2016
34,17,0.0,20,6.0,3.5,0.0,0.0,24,0.0,0.0,0.0,2016
35,17,0.0,20,6.0,3.5,0.0,0.0,24,0.0,0.0,0.0,2016
36,21,0.0,24,4.0,2.4,0.0,0.0,28,0.0,0.0,0.0,2016
37,21,0.0,24,4.0,2.4,0.0,0.0,28,0.0,0.0,0.0,2016
38,21,0.0,24,4.0,2.0,0.0,0.0,28,0.0,0.0,0.0,2016
39,21,0.0,24,4.0,2.0,0.0,0.0,28,0.0,0.0,0.0,2016
40,23,0.0,25,4.0,2.4,0.0,0.0,28,0.0,0.0,0.0,2016
41,23,0.0,25,4.0,2.4,0.0,0.0,28,0.0,0.0,0.0,2016
42,23,0.0,25,4.0,2.0,0.0,0.0,30,0.0,0.0,0.0,2016
43,21,0.0,23,4.0,2.4,0.0,0.0,27,0.0,0.0,0.0,2016
44,21,0.0,23,4.0,2.4,0.0,0.0,27,0.0,0.0,0.0,2016
45,23,0.0,25,4.0,2.4,0.0,0.0,28,0.0,0.0,0.0,2016
46,23,0.0,25,4.0,2.4,0.0,0.0,28,0.0,0.0,0.0,2016
47,17,0.0,20,6.0,3.5,0.0,0.0,24,0.0,0.0,0.0,2016
48,17,0.0,20,6.0,3.5,0.0,0.0,24,0.0,0.0,0.0,2016
49,17,0.0,20,6.0,3.5,0.0,0.0,24,0.0,0.0,0.0,2016
50,17,0.0,20,6.0,3.5,0.0,0.0,24,0.0,0.0,0.0,2016
51,20,0.0,23,5.0,2.5,0.0,0.0,28,0.0,0.0,0.0,2016
52,24,0.0,27,4.0,2.5,0.0,0.0,32,0.0,6.0,0.0,2016
53,24,0.0,27,4.0,2.5,0.0,0.0,32,0.0,6.0,0.0,2016
