city_mpg,combination_mpg,cylinders,displacement,highway_mpg,year
25.0,29.0,4.0,2.5,36,2014
26.0,30.0,4.0,2.5,37,2014
25.0,27.0,4.0,2.5,31,2014
26.0,29.0,4.0,2.0,34,2014
26.0,28.0,4.0,2.0,32,2014
24.0,26.0,4.0,2.5,29,2014
25.0,27.0,4.0,2.0,30,2014
19.0,22.0,6.0,3.7,29,2014
19.0,23.0,6.0,3.7,30,2014
15.0,18.0,8.0,5.75,24,2014
18.0,20.0,8.0,5.0,25,2014
22.0,24.0,4.0,2.5,28,2014
24.0,27.0,4.0,2.5,31,2014
23.0,25.0,4.0,2.0,27,2014
19.0,23.0,6.0,3.7,29,2014
16.0,19.0,8.0,5.0,25,2014
16.0,19.0,6.0,3.8,23,2014
24.0,28.0,6.0,3.0,36,2014
20.0,22.0,4.0,2.4,26,2014
19.0,21.0,4.0,2.4,27,2014
18.0,21.0,6.0,3.3,25,2014
19.0,21.0,4.0,2.4,24,2014
18.0,20.0,6.0,3.3,23,2014
17.0,19.0,6.0,3.5,22,2014
13.0,16.0,9.0,5.2,22,2014
13.0,16.0,9.0,5.2,22,2014
14.0,17.0,8.0,4.2,23,2014
14.0,17.0,8.0,4.2,23,2014
12.0,14.0,9.0,5.2,19,2014
12.0,14.0,9.0,5.2,19,2014
11.0,14.0,8.0,4.2,20,2014
11.0,14.0,8.0,4.2,20,2014
13.0,15.0,9.0,5.75,19,2014
13.0,15.0,9.0,5.75,19,2014
13.0,15.0,9.0,5.75,19,2014
14.0,17.0,8.0,5.0,22,2014
21.0,24.0,4.0,2.4,28,2014
21.0,24.0,4.0,2.4,28,2014
21.0,24.0,4.0,2.0,28,2014
21.0,24.0,4.0,2.0,28,2014
23.0,25.0,4.0,2.4,28,2014
23.0,25.0,4.0,2.4,28,2014
23.0,25.0,4.0,2.0,30,2014
21.0,23.0,4.0,2.4,27,2014
21.0,23.0,4.0,2.4,27,2014
23.0,25.0,4.0,2.4,28,2014
23.0,25.0,4.0,2.4,28,2014
13.0,15.0,8.0,5.75,19,2014
14.0,17.0,8.0,4.8,21,2014
15.0,17.0,8.0,5.0,22,2014
16.0,19.0,6.0,3.8,23,2015
20.0,23.0,5.0,2.5,28,2015
26.0,30.0,4.0,2.5,37,2015
28.0,32.0,4.0,2.5,39,2015
25.0,29.0,4.0,2.5,35,2015
18.0,21.0,6.0,3.8,26,2015
15.0,18.0,8.0,5.0,23,2015
18.0,21.0,6.0,3.3,25,2015
26.0,28.0,4.0,2.0,32,2015
26.0,29.0,4.0,2.0,34,2015
25.0,27.0,4.0,2.5,31,2015
19.0,21.0,4.0,2.4,25,2015
18.0,20.0,6.0,3.3,23,2015
25.0,27.0,4.0,2.0,30,2015
24.0,26.0,4.0,2.5,29,2015
17.0,20.0,6.0,3.0,24,2015
17.0,20.0,6.0,3.0,24,2015
22.0,26.0,4.0,2.0,31,2015
22.0,26.0,4.0,2.0,31,2015
21.0,24.0,4.0,2.0,28,2015
17.0,19.0,4.0,2.5,23,2015
19.0,22.0,6.0,3.0,28,2015
19.0,22.0,6.0,3.0,28,2015
20.0,23.0,5.0,2.5,28,2015
19.0,22.0,6.0,3.0,28,2015
16.0,19.0,8.0,5.3,23,2015
16.0,19.0,8.0,5.3,23,2015
16.0,18.0,8.0,5.3,22,2015
16.0,18.0,8.0,5.3,22,2015
20.0,23.0,4.0,2.4,27,2015
15.0,17.0,8.0,5.75,21,2015
15.0,17.0,8.0,5.75,21,2015
16.0,18.0,8.0,5.3,23,2015
16.0,18.0,8.0,5.3,23,2015
15.0,17.0,8.0,5.75,21,2015
15.0,17.0,8.0,5.75,21,2015
16.0,18.0,8.0,5.3,23,2015
16.0,18.0,8.0,5.3,23,2015
14.0,16.0,8.0,5.75,21,2015
14.0,16.0,8.0,5.75,20,2015
16.0,18.0,8.0,5.3,22,2015
15.0,18.0,8.0,5.3,22,2015
14.0,16.0,8.0,5.75,20,2015
14.0,16.0,8.0,5.75,21,2015
15.0,18.0,8.0,5.3,22,2015
16.0,18.0,8.0,5.3,22,2015
16.0,18.0,8.0,5.0,23,2015
16.0,18.0,8.0,5.0,23,2015
20.0,23.0,6.0,3.0,28,2015
20.0,23.0,6.0,3.0,28,2015
26.0,30.0,4.0,2.5,37,2016
28.0,32.0,4.0,2.5,38,2016
25.0,29.0,4.0,2.5,36,2016
18.0,21.0,6.0,3.3,25,2016
20.0,23.0,4.0,2.0,27,2016
21.0,24.0,4.0,2.4,28,2016
18.0,20.0,6.0,3.3,25,2016
26.0,29.0,4.0,2.0,34,2016
26.0,29.0,4.0,2.5,33,2016
19.0,21.0,4.0,2.0,25,2016
21.0,22.0,4.0,2.4,25,2016
17.0,19.0,6.0,3.3,23,2016
24.0,26.0,4.0,2.5,29,2016
20.0,24.0,6.0,3.0,29,2016
20.0,24.0,6.0,3.0,29,2016
25.0,28.0,4.0,1.8,33,2016
28.0,31.0,4.0,1.8,34,2016
28.0,31.0,4.0,1.8,34,2016
27.0,29.0,4.0,1.8,32,2016
27.0,29.0,4.0,1.8,32,2016
19.0,22.0,6.0,3.0,27,2016
19.0,22.0,6.0,3.0,27,2016
19.0,22.0,6.0,3.0,27,2016
19.0,22.0,6.0,3.0,27,2016
11.0,14.0,8.0,5.75,18,2016
28.0,31.0,4.0,1.6,35,2016
27.0,30.0,4.0,1.6,34,2016
24.0,27.0,4.0,2.0,32,2016
34.5,37.5,5.315693430656935,2.931751824817518,44,2016
18.0,21.0,6.0,3.0,26,2016
18.0,21.0,6.0,3.0,26,2016
25.0,29.0,4.0,2.4,35,2016
24.0,27.0,4.0,2.0,32,2016
16.0,18.0,8.0,5.0,23,2016
15.0,18.0,8.0,5.0,23,2016
15.0,18.0,8.0,5.0,23,2016
15.0,18.0,8.0,5.0,23,2016
15.0,18.0,8.0,5.0,23,2016
20.0,23.0,6.0,3.5,30,2016
28.0,30.0,6.0,3.5,31,2016
16.0,19.0,6.0,3.8,22,2016
26.0,29.0,4.0,1.6,32,2016
25.0,28.0,4.0,1.6,33,2016
25.0,30.0,6.0,3.0,38,2016
15.0,18.0,8.0,5.0,23,2016
18.0,20.0,6.0,3.3,24,2016
18.0,21.0,6.0,3.3,25,2016
17.0,19.0,6.0,3.3,22,2016
17.0,20.0,6.0,3.6,24,2016
22.0,26.0,4.0,2.0,32,2016
20.0,23.0,4.0,2.0,28,2017
20.0,23.0,4.0,2.0,27,2017
19.0,22.0,4.0,2.0,26,2017
19.0,21.0,4.0,2.0,24,2017
19.0,21.0,6.0,3.0,25,2017
29.0,33.0,4.0,2.0,38,2017
28.0,32.0,4.0,2.0,37,2017
26.0,29.0,4.0,2.0,36,2017
18.0,21.0,6.0,3.3,25,2017
17.0,20.0,6.0,3.3,23,2017
18.0,20.0,6.0,3.3,24,2017
17.0,19.0,6.0,3.3,22,2017
21.0,24.0,4.0,2.4,27,2017
20.0,22.0,4.0,2.4,26,2017
22.0,25.0,4.0,2.4,29,2017
23.0,26.0,4.0,2.4,30,2017
21.0,23.0,4.0,2.0,26,2017
21.0,23.0,4.0,2.4,25,2017
21.0,22.0,4.0,2.4,25,2017
20.0,21.0,4.0,2.0,23,2017
19.0,22.0,6.0,3.6,27,2017
18.0,21.0,6.0,3.6,26,2017
33.0,36.0,3.0,1.2,41,2017
34.5,37.5,3.0,1.2,43,2017
18.0,22.0,6.0,3.6,28,2017
34.5,37.5,5.315693430656935,2.931751824817518,44,2017
14.0,17.0,9.0,5.2,22,2017
14.0,17.0,9.0,5.2,22,2017
24.0,27.0,4.0,2.0,31,2017
25.0,28.0,4.0,2.0,33,2017
20.0,23.0,4.0,2.0,27,2017
18.0,21.0,4.0,2.0,24,2017
17.0,19.0,4.0,2.5,23,2017
19.0,22.0,6.0,3.0,28,2017
20.0,23.0,6.0,3.5,28,2017
19.0,22.0,6.0,3.5,27,2017
34.5,37.5,4.0,1.5,42,2017
15.0,18.0,8.0,5.0,23,2017
15.0,18.0,8.0,5.0,23,2017
20.0,23.0,6.0,3.0,28,2017
20.0,23.0,6.0,3.0,28,2017
19.0,22.0,6.0,3.0,27,2017
19.0,22.0,6.0,3.0,27,2017
18.0,21.0,6.0,3.0,26,2017
18.0,21.0,6.0,3.0,26,2017
16.0,19.0,6.0,3.0,24,2017
16.0,19.0,6.0,3.0,24,2017
15.0,18.0,6.0,3.0,24,2017
15.0,18.0,6.0,3.0,24,2017
22.0,25.0,4.0,2.0,31,2017
26.0,28.0,4.0,1.5,32,2018
24.0,26.0,4.0,1.5,30,2018
24.0,27.0,4.0,2.0,34,2018
24.0,27.0,4.0,2.0,33,2018
24.0,27.0,4.0,2.0,34,2018
24.0,27.0,4.0,2.0,33,2018
21.0,23.0,4.0,2.0,27,2018
18.0,21.0,4.0,2.0,24,2018
24.0,27.0,4.0,2.0,34,2018
18.0,20.0,6.0,3.8,25,2018
19.0,22.0,6.0,3.8,27,2018
23.0,25.0,4.0,2.0,27,2018
24.0,27.0,4.0,2.0,34,2018
21.0,24.0,6.0,3.0,30,2018
20.0,23.0,6.0,3.0,29,2018
21.0,24.0,6.0,3.0,30,2018
21.0,24.0,6.0,3.0,30,2018
17.0,20.0,6.0,3.3,24,2018
17.0,20.0,6.0,3.3,25,2018
19.0,21.0,6.0,3.0,24,2018
12.0,15.0,9.0,5.75,19,2018
24.0,27.0,4.0,2.0,34,2018
22.0,26.0,4.0,2.0,32,2018
21.0,24.0,6.0,3.0,29,2018
20.0,23.0,6.0,3.0,29,2018
17.0,20.0,6.0,3.0,25,2018
16.0,19.0,6.0,3.0,22,2018
20.0,23.0,6.0,3.0,29,2018
19.0,22.0,6.0,3.0,28,2018
17.0,20.0,8.0,4.4,25,2018
16.0,19.0,8.0,4.4,25,2018
15.0,17.0,8.0,4.4,22,2018
14.0,16.0,8.0,4.4,20,2018
24.0,27.0,4.0,2.0,34,2018
21.0,25.0,4.0,2.0,33,2018
23.0,27.0,4.0,2.0,33,2018
24.0,27.0,4.0,2.0,34,2018
23.0,27.0,4.0,2.0,33,2018
21.0,25.0,6.0,3.0,32,2018
21.0,25.0,6.0,3.0,31,2018
19.0,23.0,6.0,3.0,29,2018
21.0,25.0,6.0,3.0,32,2018
21.0,25.0,6.0,3.0,31,2018
17.0,20.0,6.0,3.0,25,2018
17.0,20.0,6.0,3.0,24,2018
20.0,23.0,6.0,3.0,29,2018
19.0,22.0,6.0,3.0,28,2018
17.0,20.0,8.0,4.4,25,2018
16.0,19.0,8.0,4.4,25,2018
16.0,19.0,8.0,4.4,25,2018
20.0,23.0,6.0,3.2,29,2019
19.0,22.0,6.0,3.2,27,2019
18.0,21.0,6.0,3.2,26,2019
18.0,21.0,6.0,3.2,24,2019
16.0,19.0,8.0,5.75,25,2019
15.0,18.0,8.0,5.75,25,2019
14.0,17.0,8.0,5.75,23,2019
30.0,34.0,4.0,1.4,40,2019
30.0,34.0,4.0,1.4,40,2019
22.0,25.0,4.0,2.4,29,2019
24.0,27.0,4.0,2.0,31,2019
19.0,22.0,6.0,3.3,26,2019
24.0,26.0,4.0,2.0,30,2019
21.0,23.0,4.0,2.4,26,2019
19.0,21.0,6.0,3.3,24,2019
15.0,17.0,8.0,5.75,22,2019
18.0,21.0,6.0,3.3,24,2019
23.0,26.0,4.0,2.0,31,2019
22.0,25.0,4.0,2.4,31,2019
21.0,24.0,4.0,2.0,29,2019
21.0,24.0,4.0,2.4,29,2019
20.0,22.0,4.0,2.0,26,2019
20.0,23.0,4.0,2.0,27,2019
17.0,20.0,6.0,3.3,25,2019
17.0,20.0,6.0,3.3,26,2019
21.0,23.0,4.0,2.0,28,2019
22.0,25.0,4.0,2.0,30,2019
18.0,22.0,4.0,2.0,28,2019
20.0,22.0,4.0,2.0,25,2019
19.0,22.0,6.0,3.5,26,2019
18.0,21.0,6.0,3.5,25,2019
23.0,26.0,4.0,2.0,31,2019
27.0,30.0,4.0,2.0,34,2019
25.0,28.0,4.0,2.0,33,2019
28.0,30.0,4.0,1.6,34,2019
26.0,29.0,4.0,1.6,33,2019
15.0,17.0,8.0,5.7,22,2019
15.0,17.0,8.0,5.7,21,2019
22.0,25.0,4.0,2.5,29,2019
21.0,24.0,4.0,2.5,27,2019
23.0,26.0,4.0,2.4,32,2019
20.0,23.0,6.0,3.5,30,2019
20.0,23.0,6.0,3.5,29,2019
20.0,23.0,6.0,3.5,29,2019
13.0,15.0,8.0,5.75,19,2019
12.0,15.0,8.0,5.75,20,2019
27.0,30.0,3.0,1.5,35,2019
28.0,31.0,3.0,1.5,37,2019
25.0,28.0,4.0,2.0,33,2019
23.0,26.0,4.0,2.0,32,2019
31.0,34.0,4.0,2.0,40,2020
34.5,37.5,4.0,1.8,44,2020
29.0,32.0,4.0,2.0,36,2020
31.0,34.0,4.0,2.0,38,2020
30.0,33.0,4.0,1.8,38,2020
29.0,33.0,4.0,1.8,39,2020
29.0,32.0,4.0,1.8,37,2020
27.0,30.0,4.0,2.0,33,2020
29.0,31.0,4.0,2.0,35,2020
25.0,27.0,4.0,2.0,31,2020
27.0,29.0,4.0,1.6,32,2020
23.0,26.0,4.0,2.4,30,2020
20.0,23.0,4.0,2.0,28,2020
20.0,23.0,6.0,3.8,26,2020
22.0,23.0,4.0,2.4,26,2020
19.0,21.0,4.0,2.0,24,2020
19.0,21.0,6.0,3.8,24,2020
19.0,22.0,4.0,2.0,26,2020
19.0,21.0,6.0,3.0,24,2020
23.0,26.0,4.0,2.0,30,2020
23.0,26.0,4.0,2.0,30,2020
25.0,28.0,4.0,2.0,34,2020
24.0,27.0,4.0,2.0,32,2020
24.0,28.0,4.0,2.0,34,2020
22.0,25.0,4.0,2.0,30,2020
25.0,28.0,4.0,2.0,34,2020
23.0,26.0,4.0,2.0,31,2020
23.0,27.0,4.0,2.0,33,2020
22.0,25.0,4.0,2.0,31,2020
21.0,24.0,4.0,2.0,28,2020
21.0,24.0,4.0,2.0,28,2020
21.0,23.0,4.0,2.0,27,2020
22.0,24.0,4.0,2.0,27,2020
22.0,24.0,4.0,2.0,27,2020
21.0,23.0,4.0,2.0,27,2020
20.0,22.0,4.0,2.0,26,2020
20.0,23.0,6.0,3.0,28,2020
20.0,23.0,6.0,3.0,28,2020
19.0,22.0,6.0,3.0,27,2020
19.0,22.0,6.0,3.0,27,2020
18.0,21.0,6.0,3.0,26,2020
18.0,21.0,6.0,3.0,26,2020
20.0,23.0,6.0,3.0,28,2020
18.0,21.0,6.0,3.0,25,2020
18.0,20.0,6.0,3.0,23,2020
16.0,18.0,8.0,5.0,21,2020
20.0,23.0,4.0,2.0,27,2020
19.0,21.0,6.0,3.8,24,2020
24.0,27.0,4.0,2.0,32,2020
30.0,34.0,4.0,2.0,40,2020
29.0,31.0,4.0,2.0,34,2021
25.0,27.0,4.0,1.6,30,2021
27.0,29.0,4.0,2.0,31,2021
19.0,22.0,6.0,3.0,27,2021
19.0,22.0,6.0,3.0,27,2021
18.0,21.0,6.0,3.0,26,2021
18.0,21.0,6.0,3.0,26,2021
16.0,18.0,8.0,5.0,24,2021
16.0,18.0,8.0,5.0,24,2021
17.0,19.0,6.0,3.6,23,2021
16.0,18.0,6.0,3.6,22,2021
20.0,23.0,4.0,2.0,27,2021
22.0,25.0,4.0,2.0,30,2021
18.0,22.0,4.0,2.0,28,2021
28.0,30.0,4.0,2.0,33,2021
29.0,31.0,4.0,2.0,35,2021
25.0,27.0,4.0,2.0,31,2021
27.0,29.0,4.0,1.6,32,2021
21.0,22.0,4.0,2.0,24,2021
26.0,28.0,3.0,1.3,30,2021
17.0,20.0,6.0,3.3,25,2021
17.0,20.0,6.0,3.3,26,2021
28.0,29.0,3.0,1.2,31,2021
29.0,31.0,3.0,1.3,33,2021
28.0,29.0,3.0,1.2,31,2021
28.0,31.0,3.0,1.5,37,2021
26.0,29.0,4.0,2.0,34,2021
23.0,26.0,4.0,2.0,32,2021
25.0,28.0,4.0,2.0,33,2021
28.0,31.0,3.0,1.5,37,2021
28.0,31.0,3.0,1.5,37,2021
23.0,27.0,4.0,2.0,33,2021
23.0,27.0,4.0,2.0,33,2021
26.0,29.0,4.0,2.0,34,2021
23.0,27.0,4.0,2.0,33,2021
24.0,26.0,4.0,2.0,30,2021
34.5,37.5,4.0,1.5,44,2021
27.0,30.0,4.0,2.0,34,2021
25.0,28.0,4.0,2.0,33,2021
28.0,30.0,4.0,1.6,34,2021
26.0,29.0,4.0,1.6,33,2021
34.5,37.5,4.0,1.5,44,2021
17.0,19.0,8.0,4.4,24,2021
17.0,19.0,8.0,4.4,24,2021
19.0,22.0,4.0,2.5,25,2021
18.0,21.0,6.0,3.6,25,2021
