Feature,Coefficient,Abs_Value
is_electric,48.169370305621584,48.169370305621584
engine_power_density,-35.42986078636742,35.42986078636742
is_diesel,-18.287418196992828,18.287418196992828
is_hybrid,11.835441592458253,11.835441592458253
fuel_type_encoded,-11.59453391163594,11.59453391163594
cylinders,-2.2759897037525567,2.2759897037525567
displacement,1.8722981224679405,1.8722981224679405
is_luxury,-1.7797674812592068,1.7797674812592068
is_high_performance,-1.7259504563606036,1.7259504563606036
displacement_scaled,1.488959075379663,1.488959075379663
cylinders_scaled,-1.275694473164864,1.275694473164864
model,0.6994612620281438,0.6994612620281438
drivetrain_type_encoded,0.4707422730573293,0.4707422730573293
size_category_encoded,-0.4524280375334682,0.4524280375334682
is_manual,-0.314566244044152,0.314566244044152
transmission_encoded,-0.3145662440441498,0.3145662440441498
is_automatic,0.3145662440441394,0.3145662440441394
drive_encoded,0.08436808422121367,0.08436808422121367
make_encoded,-0.03671861192863122,0.03671861192863122
year,0.020380243675983067,0.020380243675983067
vehicle_age,-0.02038024367596278,0.02038024367596278
class_encoded,0.011879307017476743,0.011879307017476743
year_scaled,0.006444798928540003,0.006444798928540003
vehicle_age_scaled,-0.006444798928522233,0.006444798928522233
